large-perc,small-perc,not-enough,enough-wide,enough-narrow,enough-guards-wide,enough-guards-narrow,num-ants,large-narrow,large-wide,small-narrow,small-wide,ln1,ln2,sn1,sn2,h
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,4,2,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,3,3,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,0,4,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,2,3,2,1,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,3,3,1,1,0
0.25,0.05,0.95,0.3,0.1,12,2,7,2,0,2,0,4,3,0,0,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,2,0,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,4,3,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,2,3,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,3,2,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,8,2,0,2,0,3,3,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,2,4,1,2,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,3,4,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,2,4,2,1,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,3,2,1,3,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,2,4,0,3,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,4,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,2,3,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,9,2,0,2,0,3,3,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,3,4,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,3,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,2,4,0,4,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,4,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,4,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,2,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,4,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,4,3,0,3,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,3,4,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,3,3,0,5,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,5,4,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,10,2,0,2,0,2,4,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,3,3,2,3,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,6,3,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,4,2,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,2,5,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,3,4,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,5,2,0,4,0
0.25,0.05,0.95,0.3,0.1,12,2,11,2,0,2,0,6,2,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,4,3,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,3,2,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,3,3,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,3,5,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,6,3,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,5,7,0,0,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,4,4,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,3,4,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,4,4,1,3,0
0.25,0.05,0.95,0.3,0.1,12,2,12,2,0,2,0,2,2,5,3,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,4,5,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,3,6,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,3,4,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,6,3,3,1,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,6,7,0,0,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,6,5,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,2,6,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,3,2,2,6,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,5,4,0,4,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,3,6,0,5,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,3,2,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,13,2,0,2,0,3,2,4,4,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,5,2,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,5,7,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,4,5,2,3,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,5,3,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,2,3,5,4,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,5,4,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,5,7,0,2,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,2,4,0,9,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,2,6,3,4,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,3,5,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,14,2,0,2,0,8,3,0,3,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,6,5,1,3,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,5,5,5,0,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,4,4,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,7,2,3,3,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,5,3,3,4,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,6,6,3,0,0
0.25,0.05,0.95,0.3,0.1,12,2,15,2,0,2,0,6,5,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,2,7,0,7,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,4,4,3,5,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,2,6,5,3,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,3,6,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,7,5,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,4,5,1,6,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,4,5,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,3,6,2,5,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,5,5,4,2,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,6,4,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,2,4,5,6,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,4,5,6,2,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,6,4,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,3,7,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,16,2,0,2,0,6,3,0,7,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,7,5,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,9,5,0,3,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,7,3,0,7,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,4,4,2,7,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,3,7,5,3,0
0.25,0.05,0.95,0.3,0.1,12,2,17,2,0,2,0,7,5,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,5,5,6,2,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,5,5,6,2,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,3,4,3,8,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,8,4,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,5,5,5,3,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,4,7,2,5,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,5,7,0,6,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,6,4,2,6,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,8,4,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,6,5,0,8,0
0.25,0.05,0.95,0.3,0.1,12,2,18,2,0,2,0,10,8,0,0,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,10,4,2,3,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,10,4,3,2,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,7,7,5,0,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,5,6,5,3,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,6,8,2,3,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,5,3,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,6,5,4,4,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,9,8,0,3,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,8,10,2,0,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,5,7,3,5,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,7,6,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,19,2,0,2,0,7,8,4,0,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,6,3,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,4,7,2,7,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,6,8,5,1,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,5,9,2,4,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,6,4,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,9,4,8,0,0
0.25,0.05,0.95,0.3,0.1,12,2,20,2,0,2,0,6,6,8,0,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,7,5,7,2,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,3,9,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,8,6,3,4,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,7,5,5,4,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,7,7,4,3,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,6,5,7,3,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,6,7,4,4,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,4,8,6,3,0
0.25,0.05,0.95,0.3,0.1,12,2,21,2,0,2,0,4,4,8,5,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,4,9,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,9,9,2,2,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,6,5,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,4,8,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,9,8,5,0,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,2,10,2,8,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,6,7,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,5,3,7,7,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,3,5,8,6,0
0.25,0.05,0.95,0.3,0.1,12,2,22,2,0,2,0,6,8,4,4,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,5,9,8,1,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,5,7,2,9,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,5,3,9,6,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,5,9,6,3,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,9,7,2,5,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,9,2,5,7,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,4,5,10,4,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,10,6,0,7,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,8,7,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,9,5,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,5,9,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,7,6,6,5,0
0.25,0.05,0.95,0.3,0.1,12,2,23,2,0,2,0,8,6,3,6,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,8,7,5,4,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,6,6,5,7,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,5,5,10,4,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,8,7,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,8,7,5,4,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,5,7,5,7,0
0.25,0.05,0.95,0.3,0.1,12,2,24,2,0,2,0,8,8,3,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,6,8,5,6,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,6,9,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,6,6,5,8,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,7,6,7,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,5,10,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,7,5,8,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,10,4,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,8,6,5,6,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,7,7,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,9,5,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,7,10,2,6,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,7,13,4,2,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,9,8,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,5,10,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,6,6,3,11,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,8,6,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,8,7,6,5,0
0.25,0.05,0.95,0.3,0.1,12,2,25,2,0,2,0,7,9,4,5,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,8,8,4,6,0
0.25,0.05,0.95,0.3,0.1,12,2,26,2,0,2,0,8,8,4,6,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,12,6,7,2,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,8,8,4,7,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,9,8,5,5,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,6,8,8,5,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,9,6,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,8,3,6,10,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,5,7,8,7,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,10,4,7,7,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,9,10,3,6,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,8,7,4,8,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,10,10,5,2,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,6,9,7,6,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,9,7,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,27,2,0,2,0,11,4,6,6,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,6,6,6,10,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,9,9,3,7,0
0.25,0.05,0.95,0.3,0.1,12,2,28,2,0,2,0,7,7,6,8,0
